name;value ;link;description;cost;quantity;added
resistor;;;;;;
R1;220;https://it.aliexpress.com/item/1005010070793079.html?spm=a2g0o.productlist.main.18.52f2bhG2bhG2zd&algo_pvid=34741f36-e2c5-4814-8425-32395133cee6&algo_exp_id=34741f36-e2c5-4814-8425-32395133cee6-43&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.42%211.42%21%21%2110.92%2110.92%21%40211b813b17795353574155408e0437%2112000051030039025%21sea%21IT%214906144315%21X%211%210%21n_tag%3A-29919%3Bd%3Af5869dfc%3Bm03_new_user%3A-29895&curPageLogUid=H7QIyXNC0fT4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010070793079%7C_p_origin_prod%3A;805;1,45;3;
R2;220;R1;805;R1;R1;
R3;3,6K;https://it.aliexpress.com/item/1005010070793079.html?spm=a2g0o.productlist.main.18.52f2bhG2bhG2zd&algo_pvid=34741f36-e2c5-4814-8425-32395133cee6&algo_exp_id=34741f36-e2c5-4814-8425-32395133cee6-43&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.42%211.42%21%21%2110.92%2110.92%21%40211b813b17795353574155408e0437%2112000051030039025%21sea%21IT%214906144315%21X%211%210%21n_tag%3A-29919%3Bd%3Af5869dfc%3Bm03_new_user%3A-29895&curPageLogUid=H7QIyXNC0fT4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010070793079%7C_p_origin_prod%3A;805;1,45;1;
R4;100;https://it.aliexpress.com/item/1005010070793079.html?spm=a2g0o.productlist.main.18.52f2bhG2bhG2zd&algo_pvid=34741f36-e2c5-4814-8425-32395133cee6&algo_exp_id=34741f36-e2c5-4814-8425-32395133cee6-43&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.42%211.42%21%21%2110.92%2110.92%21%40211b813b17795353574155408e0437%2112000051030039025%21sea%21IT%214906144315%21X%211%210%21n_tag%3A-29919%3Bd%3Af5869dfc%3Bm03_new_user%3A-29895&curPageLogUid=H7QIyXNC0fT4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010070793079%7C_p_origin_prod%3A;805;1,45;2;
R5;732K;https://it.aliexpress.com/item/1005005184230104.html?spm=a2g0o.productlist.main.3.7179aQWLaQWLPA&algo_pvid=e4b84cac-8b3e-4bc8-a1d6-2414b8415060&algo_exp_id=e4b84cac-8b3e-4bc8-a1d6-2414b8415060-22&pdp_ext_f=%7B%22order%22%3A%2217%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%212.06%212.06%21%21%2115.86%2115.86%21%402103894417795360204697024e6909%2112000032017018125%21sea%21IT%214906144315%21X%211%210%21n_tag%3A-29919%3Bd%3Af5869dfc%3Bm03_new_user%3A-29895&curPageLogUid=FjpJxLWFyGgd&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005184230104%7C_p_origin_prod%3A;805;2,07;1;
R6;100K;https://it.aliexpress.com/item/1005010070793079.html?spm=a2g0o.productlist.main.18.52f2bhG2bhG2zd&algo_pvid=34741f36-e2c5-4814-8425-32395133cee6&algo_exp_id=34741f36-e2c5-4814-8425-32395133cee6-43&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.42%211.42%21%21%2110.92%2110.92%21%40211b813b17795353574155408e0437%2112000051030039025%21sea%21IT%214906144315%21X%211%210%21n_tag%3A-29919%3Bd%3Af5869dfc%3Bm03_new_user%3A-29895&curPageLogUid=H7QIyXNC0fT4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010070793079%7C_p_origin_prod%3A;805;1,45;1;
R7;220;R1;805;R1;R1;
R8;1K;https://it.aliexpress.com/item/1005010070793079.html?spm=a2g0o.productlist.main.18.52f2bhG2bhG2zd&algo_pvid=34741f36-e2c5-4814-8425-32395133cee6&algo_exp_id=34741f36-e2c5-4814-8425-32395133cee6-43&pdp_ext_f=%7B%22order%22%3A%2218%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21EUR%211.42%211.42%21%21%2110.92%2110.92%21%40211b813b17795353574155408e0437%2112000051030039025%21sea%21IT%214906144315%21X%211%210%21n_tag%3A-29919%3Bd%3Af5869dfc%3Bm03_new_user%3A-29895&curPageLogUid=H7QIyXNC0fT4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010070793079%7C_p_origin_prod%3A;805;1,45;6;
R9;100;R4;805;R4;R4;
