Ref,Val,Package,PosX,PosY,Rot,Side
"C3","10uF","C_0805_2012Metric",148.175000,-136.800000,0.000000,bottom
"C4","22uF","C_0805_2012Metric",141.750000,-130.500000,-90.000000,bottom
"C22","22pF","C_0805_2012Metric",144.442500,-96.750000,90.000000,bottom
"C23","22pF","C_0805_2012Metric",138.442500,-96.750000,90.000000,bottom
"C24","0.1uF","C_0805_2012Metric",141.942500,-79.750000,180.000000,bottom
"C25","0.1uF","C_0805_2012Metric",134.942500,-87.250000,180.000000,bottom
"C26","0.1uF","C_0805_2012Metric",148.442500,-91.750000,-90.000000,bottom
"C27","0.1uF","C_0805_2012Metric",134.442500,-78.700000,90.000000,bottom
"C28","10uF","C_0805_2012Metric",137.942500,-78.750000,90.000000,bottom
"C29","0.1uF","C_0805_2012Metric",146.992500,-81.740000,0.000000,bottom
"C30","4.7uF","C_0805_2012Metric",147.022500,-78.430000,0.000000,bottom
"C31","22pF","C_0805_2012Metric",162.200000,-81.550000,0.000000,bottom
"C32","220pF","C_0805_2012Metric",157.442500,-84.250000,0.000000,bottom
"C33","220pF","C_0805_2012Metric",162.200000,-85.000000,0.000000,bottom
"C34","22pF","C_0805_2012Metric",161.950000,-87.250000,0.000000,bottom
"C35","200pF","C_0805_2012Metric",165.450000,-86.500000,90.000000,bottom
"C36","200pF","C_0805_2012Metric",165.700000,-81.600000,90.000000,bottom
"C37","1nF","C_0805_2012Metric",158.442500,-92.500000,0.000000,bottom
"C38","0.1uF","C_0805_2012Metric",150.942500,-92.500000,-90.000000,bottom
"C39","1uF","C_0805_2012Metric",127.750000,-106.500000,-90.000000,bottom
"C40","1uF","C_0805_2012Metric",133.750000,-109.500000,-90.000000,bottom
"C41","1uF","C_0805_2012Metric",119.750000,-105.000000,180.000000,bottom
"C42","1uF","C_0805_2012Metric",156.200000,-108.550000,0.000000,bottom
"C43","1uF","C_0805_2012Metric",156.200000,-101.050000,0.000000,bottom
"C44","1uF","C_0805_2012Metric",151.750000,-104.650000,180.000000,bottom
"C45","1uF","C_0805_2012Metric",156.200000,-104.550000,180.000000,bottom
"C46","1uF","C_0805_2012Metric",160.200000,-104.550000,180.000000,bottom
"C47","1uF","C_0805_2012Metric",164.200000,-104.550000,180.000000,bottom
"C48","1uF","C_0805_2012Metric",119.750000,-99.500000,180.000000,bottom
"D5","1N5817","D_SMA_Handsoldering",118.500000,-144.419315,-90.000000,bottom
"J3","JST_02","JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical",118.838630,-151.419315,180.000000,bottom
"J7","U.FL-R-SMT_01_","HRS_U.FL-R-SMT_01_",166.675000,-94.125000,-90.000000,bottom
"L11","560 nH","L_1206_3216Metric_Pad1.22x1.90mm_HandSolder",157.450000,-86.750000,0.000000,bottom
"L12","560 nH","L_1206_3216Metric_Pad1.22x1.90mm_HandSolder",157.500000,-81.650000,0.000000,bottom
"L13","1uH","L_0805_2012Metric",144.625000,-136.250000,0.000000,bottom
"L14","1 mH","IND_CD54_SUM",150.275000,-100.450000,0.000000,bottom
"L15","1 mH","IND_CD54_SUM",150.200000,-108.850000,0.000000,bottom
"Q2","BC107","SOT-23_Handsoldering",151.967500,-82.437500,180.000000,bottom
"Q3","BC107","SOT-23_Handsoldering",151.967500,-87.600000,180.000000,bottom
"Q4","BC107","SOT-23_Handsoldering",142.250000,-102.000000,180.000000,bottom
